what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879555560
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1533879557088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879564654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1533879569896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879571784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879574857
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1533879580270
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1533879580364
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1533879580426
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1533879580457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879580566
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1533879580691
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879583608
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1533879584591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879585621
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1533879585995
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1533879586011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879586323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879590582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1533879593062
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1533879595012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1533879596260
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1533879623217
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1533879623685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879625354
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879644620
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879652919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879652935
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1533879655571
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1533879656289
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1533879659799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879661624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879663574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533879707769
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1533879871865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533896770774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533896771959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533896773005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533896773192
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1533896774175
