what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1540435254219
error,log,,,"Port 8080 required by Tomcat v6.0 Server at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1540435256808
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435256808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435263347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435270804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435271646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1540435271646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1540435272847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435274126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435275234
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1540435275234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1540435275234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435280618
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435285085
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1540435285693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435289749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435294541
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1540435294572
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1540435298086
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1540435298117
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1540435306659
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1540435317270
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1540435320327
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1540435368258
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540435368570
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540435368710
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1540435377871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1540435378168
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1540435381397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435383550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435384376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435384408
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435385174
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1540435385174
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1540435389018
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1540435389049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435397096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540435406121
