what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1537858275527
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1537858277009
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1537858278631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1537858280176
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858282578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858282594
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1537858288771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858292593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858298365
opened,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1537858298475
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1537858298490
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1537858299894
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1537858302733
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1537858302889
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1537858303482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1537858307413
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1537858308552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1537858309847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858311610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858312655
closed,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1537858312717
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1537858315603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858317553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1537858320611
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858334386
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1537858334401
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858336882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858408961
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1537858409585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1537858448117
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1537858453374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1537858471352
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1537858474378
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1537858478481
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1537858479822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1537858490961
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1537858492287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1537858493020
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858536014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858537197
executed,command,,,"AUTOGEN:::org.eclipse.wst.html.core.htmlsource.ruler.actions/org.eclipse.ui.texteditor.BookmarkRulerAction",1537858537207
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1537858613959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1537858679729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858681055
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858688855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1537858696546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858698886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858705406
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1537858720944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1537858721786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858722785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858726966
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.add.block.comment",1537858864448
executed,command,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.gotoMatchingTag",1537858864448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1537858871624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1537858919657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858924727
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537858926833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537859031961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537859279518
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1537859293963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537859295242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537859299533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537859300641
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537859302872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537859303979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537859304057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1537859305773
