what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1540193361002
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1540193363982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1540193376870
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1540193395593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540193397762
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540193399571
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1540193400679
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1540193402193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193406942
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193414620
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540193416117
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540193416117
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540193417365
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540193417365
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1540193434723
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1540193434957
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1540193438825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193439839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193441759
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1540193441759
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1540193442056
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540193448674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1540193450406
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1540193452917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1540193457052
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1540193458940
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540193460937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540193462840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540193466724
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1540193470265
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1540193471981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193473183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193474253
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1540193487510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193497901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193506685
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1540193516299
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1540193516502
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1540193524225
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1540193525020
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193550377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193554012
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1540193554075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193557741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193558630
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.generate.tostring",1540193558661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193561609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193563232
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1540193563247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193567038
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193568302
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.add.unimplemented.constructors",1540193568317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193571642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193573779
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1540193573826
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193576884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193581269
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1540193581301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1540193583206
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1540193585765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193589852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193593145
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1540193593803
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1540193596660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193597939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193599202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193606412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1540193614590
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540193615682
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1540193615682
